Ana Kategori	Alt Kategori	Alt?n Alt Kategori	Kategori Komisyon % (KDV Dahil)
Kırtasiye & Ofis Malzemeleri	Boya Malzemeleri, Sanatsal Malzemeler, Sanatsal Kağıtlar & Kalemler	Akrilik Boya, Sanatsal Kağıtlar & Kalemler, Tuval, Boya Malzemeleri	18%
Kırtasiye & Ofis Malzemeleri	Dosyalama / Arşivleme, Ofis Sarf Tüketim Malzemeleri, Diğer Kırtasiye Malzemeleri	Suluk & Matara	17%
Kırtasiye & Ofis Malzemeleri	Dosyalama / Arşivleme, Ofis Sarf Tüketim Malzemeleri, Diğer Kırtasiye Malzemeleri	Yazı Tahtası, Etiketler, Bant & Bant Makinesi, Hesap Makinesi, Dosyalar, Klasörler, Kırtasiye Seti, Diğer Kırtasiye Malzemeleri, Keçeli Kalemler, Fosforlu Kalemler, Uçlu Kalem, Kurşun Kalemler, Tükenmez Kalemler, Teknik Çizim Kalemi, Diğer Kalemler	19%
Kırtasiye & Ofis Malzemeleri	Fotokopi ve Baskı Kağıtları	Fotokopi ve Baskı Kağıtları	9%
Kırtasiye & Ofis Malzemeleri	Kırtasiye Kağıt Ürünleri	Defterler, Ajanda	18%
Kırtasiye & Ofis Malzemeleri	Kırtasiye Kağıt Ürünleri	Diğer Kırtasiye Kağıt Ürünleri	19%
Kırtasiye & Ofis Malzemeleri	Ofis Teknolojileri	Ofis Makinesi ve Yazarkasa, Piller & Şarj Cihazları	15%
Mobilya	Aydınlatma	Avize, Abajur, Aplik, Lambader, Masa ve Gece Lambası	23.5%
Mobilya	Bahçe & Balkon Mobilyası	Salıncak & Hamak, Saksılık,Bahçe Sandalyesi,Bahçe Masası,Şezlong, Armut Koltuk, Şemsiye & Tente, Bahçe Dolabı,Bahçe Minderi, Bahçe Koruma Örtüsü	23%
Mobilya	Bebek & Çocuk Odası Mobilyası	Oyuncak Dolabı, Oyun & Aktivite Masası,Bebek & Çocuk Yatak,Çocuk Dolap & Gardırop , Çocuk Çalışma Sandalyesi,Çocuk Çalışma Masası, Çocuk Komodin & Şifonyer,Çocuk Hamakları, Montessori Çocuk Odası,Öğrenme Kulesi, Beşik,Çocuk & Montessori Karyola	23%
Mobilya	Bebek & Çocuk Odası Mobilyası	Çocuk & Montessori Kitaplık,Bebek Odası Sandalye & Koltuk, Ranza, Arabalı Yatak	22%
Mobilya	Ev Dekorasyon	Dekoratif Kutu & Tabak & Kase, Kapı Süsü, Kitap Tutucu, Magnet, Masa Saati, Vazo, Çerçeve, Paravan	24%
Mobilya	Ev Dekorasyon	Sanat Eseri	11.5%
Mobilya	Ev Dekorasyon	Tablo, Kırlent & Kırlent Kılıfı, Duvar Saati, Duvar Kağıdı, Duvar Sticker, Biblo, Ayna	21%
Mobilya	Ev Gereçleri	Ev Gereçleri	22%
Mobilya	Ev Gereçleri	Çamaşır Gereçleri	21%
Mobilya	Halı/Kilim	Halı, Kilim, Paspas, Seccade	22.5%
Mobilya	Mutfak & Banyo Mobilyası	Çok Amaçlı Dolaplar,Banyo Dolabı,Mutfak Sandalyeleri, Mutfak Rafları, Mutfak Masaları, Tabureler,Hazır Mutfak Dolapları	23%
Mobilya	Ofis Mobilyaları	Kitaplık,Duvar Rafı, Laptop Sehpası, Çalışma Masası, Çalışma Sandalyesi, Ofis Koltukları ve Kanepeleri,Ofis Masaları,Ofis Dolapları,Keson, Ofis Sehpası	23%
Mobilya	Ofis Mobilyaları	Oyuncu Koltuğu	23%
Mobilya	Ofis Mobilyaları	Oyuncu Masası	22%
Mobilya	Perde	Perde, Cibinlik, Perde Aksesuarları	22.5%
Mobilya	Salon Mobilyası	Ayakkabılık,Yemek Masası,Portmanto, Berjer,Dresuar,TV Koltuğu,Yemek Odası Sandalyesi, Vitrin & Gümüşlük, Portmanto Askılık, Dergilik & Gazetelikler, Yan Sehpa,Zigon,TV Sehpaları & Üniteleri,Orta Sehpa,Konsol, Puf & Bench, Şaraplık	23%
Mobilya	Takım Mobilyalar	Köşe Takımı,Koltuk Takımları,Yemek Odası Takımı,Bahçe Takımları,Bebek Odası Takımı,Çocuk Odası Takımı,Genç Odası Takımı,Çocuk & Genç Odası Takımı,Mutfak Masası Takımları, Ofis Takımları, Kanepe,Yatak Odası Takımı	22%
Mobilya	Takım Mobilyalar	Şark Köşesi, Çay Seti Koltuk Takımı, Mutfak Adası	23%
Mobilya	Yatak Odası Mobilyası	Baza	23%
Mobilya	Yatak Odası Mobilyası	Dolap ve Gardırop, Şifonyer,Makyaj Masası & Tuvalet Masası,Bez Dolaplar,Komodin, Sandıklar,Takı ve Aksesuar Dolapları, Yatak,Karyola,Yatak Pedi & Şiltesi,Yatak / Baza Başlığı	23%
Otomobil & Motosiklet	Akü ve Akü Takviye Kabloları	Akü ve Akü Takviye Kabloları	13.5%
